Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_z,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.37.42.196 AM,Capture Start Frame,170907,Total Frames in Take,2549,Total Exported Frames,2549,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,0.283000,28.135441,1448.769409,-31.695347,136.266068,1419.584351,-66.418266,69.851677,1442.986328,8.051637,58.312294,1465.383057,-117.225929
35,0.292000,28.050879,1448.647827,-31.836893,136.281525,1419.571777,-66.531540,69.761711,1442.944824,7.895892,58.354797,1465.171265,-117.441589
36,0.300000,28.008114,1448.564819,-31.977852,136.258041,1419.480469,-66.656395,69.677513,1442.933594,7.714625,58.334408,1465.006958,-117.678482
37,0.308000,27.996902,1448.449829,-32.190384,136.314713,1419.439575,-66.809608,69.631569,1442.905029,7.541042,58.331291,1464.860229,-117.901909
38,0.317000,27.974422,1448.327515,-32.426701,136.392715,1419.466797,-67.127426,69.514740,1442.812378,7.287577,58.219112,1464.738403,-118.046638
39,0.325000,27.956226,1448.185669,-32.627544,136.460327,1419.356445,-67.392334,69.478806,1442.746338,7.152013,58.189762,1464.593506,-118.222160
40,0.333000,27.947247,1448.035767,-32.827831,136.510315,1419.192749,-67.620514,69.447426,1442.650513,6.996442,58.189590,1464.447388,-118.427246
41,0.342000,27.951328,1447.865845,-32.969170,136.537689,1419.033081,-67.823647,69.441719,1442.506836,6.881144,58.206081,1464.266235,-118.560417
42,0.350000,27.963078,1447.683594,-33.099625,136.572296,1418.823975,-67.915108,69.571022,1442.243408,6.735550,58.221523,1464.086548,-118.686302
43,0.358000,27.973707,1447.532471,-33.188251,136.612762,1418.674927,-67.959610,69.568436,1442.060669,6.655277,58.315475,1463.944214,-118.719261
44,0.367000,28.007719,1447.398804,-33.261536,136.642761,1418.488525,-67.954391,69.577423,1441.898804,6.612701,58.363930,1463.805298,-118.768204
45,0.375000,28.067785,1447.261597,-33.274265,136.704010,1418.356567,-67.956841,69.631554,1441.739014,6.578038,58.454594,1463.686157,-118.787209
46,0.383000,28.193983,1447.143921,-33.264004,136.789124,1418.190552,-67.923248,69.691399,1441.592529,6.605616,58.582832,1463.556763,-118.777191
47,0.392000,28.333130,1446.979858,-33.232639,136.867432,1418.007080,-67.878693,69.798676,1441.437988,6.638872,58.692268,1463.422729,-118.754646
48,0.400000,28.469236,1446.795898,-33.157730,136.995239,1417.789673,-67.780769,69.930016,1441.252319,6.710857,58.853966,1463.274414,-118.683380
49,0.408000,28.669832,1446.593750,-33.071690,137.077377,1417.484741,-67.606033,70.103935,1440.996216,6.788342,59.017151,1463.134888,-118.566902
50,0.417000,28.824541,1446.352661,-32.955173,137.170975,1417.300903,-67.506752,70.275169,1440.677612,6.880593,59.141724,1462.978271,-118.421432
51,0.425000,29.043663,1446.063843,-32.808544,137.314499,1417.068359,-67.413834,70.543297,1440.324219,7.008802,59.257648,1462.840698,-118.273094
52,0.433000,29.268585,1445.822144,-32.672470,137.482803,1416.829712,-67.397774,70.830490,1439.989746,7.094714,59.380257,1462.704468,-118.184929
53,0.442000,29.528076,1445.586426,-32.529037,137.664642,1416.607056,-67.458710,71.098007,1439.753418,7.149614,59.489819,1462.547729,-118.129112
54,0.450000,29.772211,1445.382690,-32.429298,137.897614,1416.452759,-67.567474,71.341721,1439.556030,7.197764,59.574524,1462.416504,-118.067688
55,0.458000,29.984856,1445.180908,-32.320560,138.054398,1416.240723,-67.672585,71.595596,1439.344604,7.259069,59.640644,1462.294434,-117.952988
56,0.467000,30.148073,1444.985962,-32.198380,138.218796,1416.069946,-67.846298,71.913315,1439.190430,7.394494,59.728981,1462.171143,-117.825783
57,0.475000,30.265219,1444.786377,-32.119793,138.323532,1415.803955,-67.956512,72.000885,1438.984497,7.443343,59.769711,1462.031006,-117.717453
58,0.483000,30.319237,1444.538208,-32.061935,138.419785,1415.509888,-67.929459,72.005486,1438.686523,7.501750,59.843086,1461.859253,-117.575867
59,0.492000,30.256956,1444.349121,-31.963528,138.397064,1415.206055,-67.866501,71.955170,1438.346069,7.569305,59.880642,1461.668945,-117.448029
60,0.500000,30.136669,1444.179199,-31.898394,138.312378,1414.995239,-67.712669,71.713722,1438.028809,7.596535,59.862625,1461.511719,-117.332535
61,0.508000,30.012520,1444.042236,-31.841806,138.195404,1414.880249,-67.563774,71.649261,1437.924927,7.755005,59.885960,1461.312744,-117.356140
62,0.517000,29.833073,1443.996338,-31.786125,138.049988,1414.849976,-67.467316,71.489212,1437.907104,7.780183,59.813580,1461.238770,-117.349319
63,0.525000,29.673876,1443.983643,-31.778301,137.955002,1414.870239,-67.387169,71.340317,1437.913330,7.796826,59.700916,1461.196533,-117.304321
64,0.533000,29.560427,1444.021606,-31.740126,137.877594,1414.979370,-67.424683,71.244766,1438.044312,7.807581,59.554688,1461.172607,-117.347244
65,0.542000,29.463966,1444.110840,-31.729031,137.826019,1415.113647,-67.454102,71.095146,1438.200928,7.714764,59.317390,1461.286743,-117.277519
66,0.550000,29.386847,1444.238525,-31.747219,137.784683,1415.294312,-67.535385,71.144730,1438.536499,7.743666,59.162659,1461.350708,-117.310875
67,0.558000,29.321606,1444.370972,-31.791355,137.729294,1415.482544,-67.684479,71.122383,1438.797729,7.708731,59.043098,1461.398560,-117.397133
68,0.567000,29.253757,1444.498291,-31.871597,137.673370,1415.639404,-67.842369,71.116493,1439.047241,7.665302,58.908226,1461.430786,-117.507423
69,0.575000,29.183210,1444.610840,-31.966866,137.620544,1415.776001,-68.017509,70.919510,1439.199341,7.479561,58.799446,1461.487427,-117.695442
70,0.583000,29.098404,1444.706299,-32.092709,137.561096,1415.914795,-68.098152,70.834854,1439.354614,7.339247,58.684593,1461.507080,-117.859146
71,0.592000,28.978128,1444.789429,-32.222027,137.464844,1415.982056,-68.181076,70.708908,1439.445923,7.218505,58.602306,1461.524536,-118.018478
72,0.600000,28.819941,1444.848022,-32.319393,137.348419,1415.969604,-68.220795,70.585220,1439.471191,7.137487,58.515671,1461.540039,-118.100883
73,0.608000,28.676441,1444.900879,-32.407181,137.228943,1415.991333,-68.228142,70.440460,1439.464844,7.049866,58.402409,1461.486694,-118.250633
74,0.617000,28.481770,1444.914185,-32.496407,137.096664,1415.989380,-68.235062,70.266579,1439.504761,7.037623,58.300106,1461.458374,-118.323654
75,0.625000,28.326296,1444.905029,-32.530674,136.950775,1415.940063,-68.230583,70.082466,1439.514404,7.006705,58.159836,1461.396973,-118.374825
76,0.633000,28.166067,1444.853149,-32.548885,136.818481,1415.865356,-68.176659,69.896149,1439.497314,7.025134,58.016796,1461.327759,-118.350502
77,0.642000,28.039114,1444.763794,-32.498985,136.694031,1415.816162,-68.123062,69.724457,1439.429321,7.070084,57.853958,1461.232056,-118.323807
78,0.650000,27.880987,1444.619385,-32.452747,136.535172,1415.718506,-68.077209,69.508591,1439.347290,7.167641,57.686234,1461.155762,-118.286919
79,0.658000,27.757265,1444.441040,-32.358345,136.384018,1415.648071,-68.041214,69.363831,1439.207397,7.244845,57.510635,1461.044189,-118.232613
80,0.667000,27.628979,1444.252075,-32.235291,136.208923,1415.515869,-68.010391,69.415253,1439.058228,7.380710,57.325352,1460.961914,-118.137039
81,0.675000,27.530806,1444.075195,-32.129654,136.092133,1415.433228,-67.985214,69.317680,1438.915405,7.491957,57.142498,1460.848267,-118.053947
82,0.683000,27.403278,1443.943604,-32.084480,135.976227,1415.337158,-67.974472,69.213531,1438.792969,7.552523,56.986206,1460.748535,-117.979149
83,0.692000,27.312737,1443.850708,-32.054188,135.838531,1415.229980,-67.922745,69.041130,1438.710571,7.594742,56.860279,1460.649414,-117.896080
84,0.700000,27.151459,1443.821045,-32.038967,135.654709,1415.090210,-67.839066,68.830986,1438.652100,7.652280,56.773151,1460.552856,-117.876472
85,0.708000,26.976130,1443.823242,-32.049671,135.429535,1414.994385,-67.681831,68.586845,1438.634888,7.700473,56.685360,1460.453491,-117.837883
86,0.717000,26.771351,1443.847900,-32.047096,135.175797,1414.877075,-67.479927,68.319321,1438.587891,7.678498,56.622902,1460.379761,-117.790092
