Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_y,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.38.54.976 AM,Capture Start Frame,179641,Total Frames in Take,2949,Total Exported Frames,2949,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,0.283000,15.120212,1349.235352,-114.362022,131.221130,1325.456177,-161.970261,58.807377,1346.626709,-74.549286,41.480362,1370.732178,-197.895676
35,0.292000,15.103955,1349.195068,-114.407753,131.272491,1325.476196,-162.105270,58.806618,1346.628906,-74.652969,41.459023,1370.701050,-197.985519
36,0.300000,15.065232,1349.210083,-114.488625,131.271713,1325.497803,-162.189941,58.754028,1346.620117,-74.733063,41.416298,1370.640137,-198.053696
37,0.308000,15.003957,1349.214600,-114.579361,131.208115,1325.476929,-162.232925,58.722805,1346.683716,-74.795166,41.370987,1370.638428,-198.135345
38,0.317000,14.796318,1349.451904,-114.417664,131.152176,1325.418335,-162.243027,58.684917,1346.664795,-74.836304,41.318680,1370.583008,-198.233749
39,0.325000,14.694365,1349.471558,-114.463219,131.098602,1325.427368,-162.300079,58.613197,1346.671387,-74.892586,41.276215,1370.567749,-198.304871
40,0.333000,14.640347,1349.434082,-114.515984,131.027924,1325.436768,-162.285278,58.588322,1346.753906,-74.902061,41.194519,1370.555298,-198.333817
41,0.342000,14.527144,1349.355103,-114.580627,130.945557,1325.440796,-162.301514,58.530163,1346.730713,-74.905907,41.128597,1370.544922,-198.371140
42,0.350000,14.558916,1349.397095,-114.612595,130.851395,1325.470093,-162.340683,58.432846,1346.703857,-74.957893,41.054531,1370.553345,-198.411453
43,0.358000,14.532387,1349.365479,-114.646790,130.834213,1325.568115,-162.384323,58.413368,1346.629639,-75.023354,40.992367,1370.534668,-198.456360
44,0.367000,14.506855,1349.311768,-114.701584,130.800034,1325.605347,-162.429871,58.379086,1346.575073,-75.086433,40.926640,1370.538696,-198.512955
45,0.375000,14.482427,1349.258789,-114.740211,130.780228,1325.658569,-162.477295,58.369507,1346.514771,-75.147881,40.895878,1370.531982,-198.543686
46,0.383000,14.486698,1349.229126,-114.799271,130.800079,1325.672485,-162.556381,58.379250,1346.469238,-75.190788,40.855129,1370.540161,-198.581970
47,0.392000,14.499609,1349.241821,-114.829933,130.841583,1325.750244,-162.672195,58.375595,1346.504639,-75.234421,40.829391,1370.559937,-198.636612
48,0.400000,14.475062,1349.206177,-114.869080,130.869812,1325.786865,-162.738922,58.384945,1346.577515,-75.280746,40.827663,1370.559082,-198.689697
49,0.408000,14.479991,1349.260742,-114.932915,130.853668,1325.812866,-162.804810,58.416039,1346.684082,-75.317780,40.849113,1370.553101,-198.746628
50,0.417000,14.490029,1349.325439,-114.965363,130.837448,1325.852661,-162.802231,58.474804,1346.769897,-75.354263,40.850918,1370.587646,-198.810730
51,0.425000,14.505291,1349.374023,-115.001556,130.842896,1325.893921,-162.813599,58.497608,1346.834839,-75.402603,40.847961,1370.610840,-198.862564
52,0.433000,14.513112,1349.388306,-115.035210,130.806320,1325.916870,-162.855591,58.484776,1346.909790,-75.464600,40.833817,1370.610840,-198.922470
53,0.442000,14.517447,1349.387939,-115.065170,130.796646,1325.905518,-162.868622,58.494141,1346.885132,-75.497147,40.842381,1370.612549,-198.920288
54,0.450000,14.508030,1349.327759,-115.084473,130.797226,1325.945557,-162.895081,58.515953,1346.814331,-75.518761,40.829613,1370.610840,-198.944672
