Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_x,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.38.13.948 AM,Capture Start Frame,174718,Total Frames in Take,2452,Total Exported Frames,2452,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,0.283000,89.335861,1384.611450,-78.310204,199.718491,1361.919678,-123.616074,133.434402,1378.919800,-40.353165,114.828064,1408.998535,-163.149887
35,0.292000,89.298882,1384.566650,-78.323349,199.726364,1361.970703,-123.706223,133.467896,1378.894287,-40.404362,114.789925,1408.983154,-163.170456
36,0.300000,89.312737,1384.568115,-78.329315,199.733994,1362.042603,-123.758141,133.439682,1378.922241,-40.444397,114.728813,1409.027466,-163.203583
37,0.308000,89.247589,1384.625977,-78.362885,199.670181,1362.088745,-123.770554,133.381622,1378.990723,-40.473206,114.686409,1409.038696,-163.223694
38,0.317000,89.173782,1384.728271,-78.386269,199.599701,1362.128662,-123.748024,133.286652,1379.113281,-40.468895,114.659378,1409.084961,-163.248413
39,0.325000,89.059303,1384.860352,-78.437714,199.544128,1362.119995,-123.712250,133.158951,1379.235840,-40.470390,114.618500,1409.141724,-163.276611
40,0.333000,88.991852,1384.979736,-78.440628,199.482971,1362.118774,-123.722672,133.066574,1379.335449,-40.469944,114.582191,1409.167603,-163.295990
41,0.342000,88.899872,1385.053955,-78.460510,199.437775,1362.187012,-123.705345,132.973450,1379.430298,-40.486099,114.523933,1409.208496,-163.314392
42,0.350000,88.838158,1385.103394,-78.466942,199.378479,1362.264160,-123.698997,132.907135,1379.547729,-40.481548,114.434006,1409.266479,-163.306931
43,0.358000,88.836739,1385.135986,-78.437950,199.322861,1362.378296,-123.771759,132.898666,1379.626099,-40.490341,114.340935,1409.322510,-163.305359
44,0.367000,88.819832,1385.159058,-78.449135,199.294586,1362.508423,-123.828598,132.899612,1379.668457,-40.501907,114.244911,1409.356323,-163.317123
45,0.375000,88.845146,1385.146851,-78.446030,199.278778,1362.567383,-123.887466,132.949356,1379.706055,-40.549767,114.151955,1409.378906,-163.336105
46,0.383000,88.852615,1385.148804,-78.458359,199.239487,1362.658325,-123.963875,132.972244,1379.784424,-40.569778,114.076225,1409.414551,-163.338058
47,0.392000,88.853828,1385.178955,-78.439644,199.177597,1362.714478,-124.048080,132.992264,1379.807983,-40.582664,114.028786,1409.453735,-163.339340
48,0.400000,88.840897,1385.228271,-78.457764,199.111267,1362.734985,-124.070290,132.967758,1379.866577,-40.619339,113.961456,1409.494995,-163.375946
49,0.408000,88.814125,1385.236084,-78.491364,199.064682,1362.736694,-124.077225,132.937241,1379.918579,-40.634529,113.928276,1409.505615,-163.399902
50,0.417000,88.760277,1385.255737,-78.515968,198.993103,1362.712769,-124.087196,132.885757,1379.922852,-40.639091,113.856056,1409.517090,-163.423141
51,0.425000,88.666855,1385.248047,-78.516083,198.849045,1362.598755,-124.173729,132.789291,1379.938354,-40.644932,113.774498,1409.531616,-163.447556
52,0.433000,88.572754,1385.255493,-78.515892,198.752777,1362.539429,-124.269730,132.672638,1379.925293,-40.626804,113.683334,1409.528076,-163.434814
53,0.442000,88.501129,1385.228516,-78.512970,198.746826,1362.561035,-124.263626,132.597900,1379.938843,-40.613457,113.577385,1409.552002,-163.405746
54,0.450000,88.441109,1385.231567,-78.440346,198.728333,1362.618286,-124.309814,132.522598,1379.948486,-40.565300,113.455887,1409.562500,-163.354218
55,0.458000,88.401337,1385.204712,-78.396683,198.704483,1362.725098,-124.347855,132.463959,1379.975342,-40.538502,113.318436,1409.587280,-163.309784
56,0.467000,88.342102,1385.158203,-78.323685,198.650986,1362.851318,-124.375366,132.420776,1380.001465,-40.513859,113.176964,1409.581665,-163.258698
57,0.475000,88.293449,1385.203003,-78.252975,198.601517,1362.936279,-124.383156,132.365158,1380.067139,-40.463085,113.044258,1409.616821,-163.198547
58,0.483000,88.227440,1385.276367,-78.237915,198.498718,1362.992432,-124.334038,132.290176,1380.186890,-40.426361,112.925110,1409.673706,-163.183411
59,0.492000,88.168686,1385.369263,-78.182625,198.367310,1362.974976,-124.298264,132.230927,1380.287598,-40.374668,112.867462,1409.679443,-163.167587
60,0.500000,88.079536,1385.466553,-78.151543,198.214661,1362.957275,-124.231758,132.141846,1380.389648,-40.323273,112.780182,1409.701050,-163.207138
61,0.508000,87.982887,1385.531006,-78.129242,198.090561,1362.970337,-124.160522,132.028442,1380.432739,-40.312248,112.666771,1409.714478,-163.191284
62,0.517000,87.969307,1385.593628,-78.144432,197.992325,1362.984253,-124.141808,131.828491,1380.462769,-40.193222,112.570282,1409.720703,-163.166779
63,0.525000,87.882416,1385.511963,-78.104073,197.956512,1363.000366,-124.200447,131.875641,1380.490479,-40.201019,112.464546,1409.733154,-163.162430
64,0.533000,87.848190,1385.473267,-78.048653,197.918259,1363.039917,-124.299652,131.834229,1380.445190,-40.274506,112.283569,1409.775391,-163.074509
65,0.542000,87.871193,1385.430664,-77.996849,197.945175,1363.132690,-124.399445,131.911743,1380.390381,-40.328968,112.131905,1409.772583,-163.067596
66,0.550000,87.829132,1385.723999,-77.735863,197.972076,1363.246704,-124.519310,131.911087,1380.412964,-40.252613,111.997314,1409.782471,-163.062164
67,0.558000,87.844688,1385.755737,-77.655922,197.982010,1363.358521,-124.641853,131.964615,1380.513550,-40.221176,111.863861,1409.804688,-163.040741
68,0.567000,87.852333,1385.729004,-77.619553,197.972473,1363.446533,-124.762665,132.031342,1380.569946,-40.232830,111.730507,1409.814575,-163.024918
69,0.575000,87.834801,1385.708252,-77.597855,197.945374,1363.497070,-124.832359,132.056076,1380.595581,-40.234291,111.599045,1409.796387,-162.997543
70,0.583000,87.769676,1385.725586,-77.566734,197.927292,1363.698853,-124.747963,132.002884,1380.647095,-40.232227,111.468758,1409.798584,-163.030502
71,0.592000,87.642151,1385.750366,-77.573677,197.725311,1363.727417,-124.731796,131.857361,1380.713989,-40.206738,111.318474,1409.785034,-163.016785
72,0.600000,87.371346,1385.657471,-77.668808,197.548752,1363.682983,-124.683815,131.724060,1380.723999,-40.195969,111.175697,1409.779907,-162.991241
73,0.608000,87.197716,1385.644897,-77.688095,197.345917,1363.635132,-124.657944,131.458511,1380.669678,-40.270912,111.025826,1409.795898,-162.942047
74,0.617000,87.013947,1385.631836,-77.669724,197.138138,1363.580933,-124.624557,131.429855,1380.721924,-40.220066,110.853897,1409.776733,-162.936401
75,0.625000,86.771255,1385.569458,-77.636063,196.969940,1363.588867,-124.575562,131.390518,1380.741699,-40.237579,110.657608,1409.766846,-162.943344
76,0.633000,86.632065,1385.462158,-77.653809,196.775604,1363.543213,-124.545792,131.265808,1380.717041,-40.245102,110.439453,1409.763672,-162.919281
77,0.642000,86.503860,1385.399536,-77.612701,196.604065,1363.507324,-124.604195,131.179474,1380.649414,-40.263092,110.228745,1409.731567,-162.877518
78,0.650000,86.395317,1385.277222,-77.601410,196.441696,1363.507812,-124.637054,131.106903,1380.551758,-40.256878,110.001297,1409.719604,-162.854523
79,0.658000,86.257553,1385.138062,-77.595360,196.264465,1363.551636,-124.708023,130.983932,1380.480103,-40.247715,109.739784,1409.685913,-162.830215
80,0.667000,86.095520,1385.009644,-77.616165,196.090988,1363.563477,-124.783760,130.782211,1380.318970,-40.336464,109.513000,1409.619629,-162.844040
81,0.675000,85.901787,1384.908325,-77.632767,195.905670,1363.619507,-124.870773,130.587784,1380.235596,-40.388939,109.261276,1409.587158,-162.862320
82,0.683000,85.712662,1384.891602,-77.703613,195.676773,1363.699341,-124.891975,130.278442,1380.199097,-40.434402,109.004898,1409.584961,-162.861099
83,0.692000,85.539909,1385.022827,-77.739418,195.352448,1363.716553,-124.919884,129.855927,1380.232178,-40.359238,108.716019,1409.613037,-162.893890
84,0.700000,85.252426,1385.157959,-77.746017,195.036499,1363.747803,-124.928772,129.531357,1380.347046,-40.272297,108.425552,1409.632568,-162.955963
85,0.708000,84.949379,1385.295654,-77.784821,194.677948,1363.768188,-124.913559,129.192444,1380.513306,-40.296261,108.138145,1409.661865,-163.031189
86,0.717000,84.624077,1385.483276,-77.810936,194.330170,1363.802368,-124.914986,128.870209,1380.672485,-40.358551,107.822701,1409.699097,-163.148697
87,0.725000,84.338905,1385.621582,-77.815086,193.973495,1363.792725,-124.992035,128.580963,1380.802734,-40.441441,107.517807,1409.722900,-163.186218
88,0.733000,83.919373,1385.896851,-77.662865,193.622208,1363.751953,-125.132217,128.470734,1380.966919,-40.624641,107.160477,1409.737427,-163.242416
89,0.742000,83.723076,1385.729858,-77.849182,193.364548,1363.803223,-125.290497,128.241760,1380.939575,-40.780964,106.770348,1409.741089,-163.308777
90,0.750000,83.466957,1385.605103,-77.951897,193.105576,1363.896484,-125.457794,127.865601,1380.910889,-40.805450,106.376251,1409.768433,-163.370148
91,0.758000,82.899467,1385.510742,-77.964783,192.991257,1364.196289,-125.512627,127.527084,1380.840942,-40.833797,105.930321,1409.753906,-163.435760
92,0.767000,82.572990,1385.344482,-78.044418,192.633728,1364.230225,-125.720291,127.220093,1380.766479,-40.838020,105.493111,1409.772339,-163.486450
93,0.775000,82.231064,1385.241455,-78.134109,192.252258,1364.260498,-125.965569,126.968353,1380.784302,-40.888264,105.129555,1409.725586,-163.583633
94,0.783000,81.886307,1385.183838,-78.222115,191.876404,1364.300049,-126.138985,126.505493,1380.783936,-40.933624,104.731415,1409.748169,-163.636429
95,0.792000,81.497452,1385.194336,-78.347641,191.469574,1364.363037,-126.211357,126.070557,1380.828491,-40.997761,104.315674,1409.816772,-163.682175
96,0.800000,81.013100,1385.544434,-78.211334,191.052185,1364.345703,-126.268509,125.531242,1380.848511,-41.181293,103.931450,1409.838501,-163.723175
97,0.808000,80.582779,1385.414917,-78.503212,190.640442,1364.337646,-126.308365,125.195770,1380.997925,-41.369038,103.454575,1409.878296,-163.815414
98,0.817000,80.206696,1385.444336,-78.649300,190.147171,1364.321899,-126.324623,124.788490,1381.129028,-41.493130,102.973442,1409.931030,-163.924179
99,0.825000,79.801819,1385.635742,-78.691719,189.620224,1364.270020,-126.325905,124.245674,1381.159424,-41.487129,102.503983,1409.923218,-164.040359
100,0.833000,79.329773,1385.762817,-78.724846,189.059204,1364.213989,-126.349953,123.749153,1381.184937,-41.478790,102.012268,1409.944824,-164.127991
101,0.842000,78.627655,1385.769043,-78.763168,188.552338,1364.262817,-126.378136,123.213173,1381.196045,-41.542980,101.503746,1409.926636,-164.193665
102,0.850000,78.187485,1385.642578,-78.883743,188.123596,1364.541748,-126.354324,122.711647,1381.212646,-41.613503,101.019501,1409.884888,-164.323257
103,0.858000,77.730621,1385.489868,-79.003014,187.494598,1364.508667,-126.469391,122.219688,1381.143799,-41.734417,100.530754,1409.807617,-164.443710
104,0.867000,77.275421,1385.343872,-79.200302,187.038620,1364.506592,-126.586304,121.941513,1381.110718,-41.966484,99.952438,1409.797363,-164.575516
105,0.875000,76.698898,1385.535889,-79.116890,186.588684,1364.430542,-126.808899,121.361931,1381.050781,-42.033958,99.501869,1409.778564,-164.689941
106,0.883000,76.251511,1385.298096,-79.416931,186.063019,1364.365479,-126.976013,120.746773,1380.924316,-42.155281,98.970047,1409.749634,-164.784500
107,0.892000,75.767715,1385.230835,-79.544212,185.552521,1364.296387,-127.114937,120.202255,1380.877563,-42.230846,98.413445,1409.759766,-164.922729
108,0.900000,75.170212,1385.218262,-79.602242,184.969070,1364.230713,-127.256256,119.724068,1380.939819,-42.414764,97.856094,1409.713989,-165.046906
109,0.908000,74.307419,1385.299927,-79.618935,184.285034,1364.067383,-127.463730,119.110634,1380.938965,-42.584267,97.210388,1409.701904,-165.132629
110,0.917000,73.716759,1385.265503,-79.727570,183.654709,1364.036865,-127.598259,118.401031,1380.975098,-42.579151,96.657761,1409.667358,-165.231705
111,0.925000,73.154213,1385.219604,-79.847717,183.190842,1364.286499,-127.607208,117.805283,1381.059692,-42.598839,95.997192,1409.673584,-165.309967
112,0.933000,72.705734,1385.327881,-79.918465,182.616043,1364.415771,-127.641472,117.241997,1381.141235,-42.631786,95.324394,1409.715332,-165.391998
113,0.942000,72.045876,1385.599976,-79.841881,181.992813,1364.478394,-127.723320,116.652817,1381.160034,-42.635021,94.698418,1409.699585,-165.466080
114,0.950000,71.511070,1385.382080,-80.187401,181.368286,1364.521362,-127.782631,115.911217,1381.047852,-42.750206,94.081345,1409.671997,-165.621689
115,0.958000,70.924301,1385.260132,-80.354729,180.724075,1364.571411,-127.801582,115.278358,1381.074097,-42.989426,93.485497,1409.626465,-165.744644
116,0.967000,70.000229,1385.338501,-80.448051,180.076294,1364.546387,-127.883118,114.541298,1381.046387,-43.221626,92.836754,1409.609619,-165.866486
117,0.975000,69.294563,1385.283691,-80.603661,179.338974,1364.364624,-128.127106,114.043571,1381.065063,-43.430252,92.273048,1409.592773,-166.026657
118,0.983000,68.660820,1385.239014,-80.776291,178.684906,1364.230103,-128.327972,113.405838,1381.128174,-43.537849,91.619553,1409.617310,-166.173309
119,0.992000,68.160019,1385.293091,-80.979805,178.190506,1364.348755,-128.444565,112.676620,1381.167358,-43.502220,90.946327,1409.646973,-166.332214
120,1.000000,67.533371,1385.341675,-81.136101,177.528061,1364.418213,-128.583817,111.993935,1381.230591,-43.504372,90.286110,1409.664185,-166.483719
