t_capture,t_command,latency_ms,signal_age_ms
1788222275.993144,1788222275.994915,1.771,0.991
1788222275.995981,1788222276.001929,5.948,6.314
1788222276.010098,1788222276.010098,0.000,0.582
1788222276.013681,1788222276.018701,5.019,8.582
1788222276.024884,1788222276.026442,1.557,1.065
1788222276.030455,1788222276.035057,4.602,4.525
1788222276.042068,1788222276.043071,1.003,0.397
1788222276.046791,1788222276.050791,4.001,3.995
1788222276.055569,1788222276.059106,3.537,3.052
1788222276.063389,1788222276.066814,3.425,2.959
1788222276.070898,1788222276.074893,3.995,10.959
1788222276.079885,1788222276.082898,3.013,3.011
1788222276.087485,1788222276.090483,2.998,2.957
1788222276.097711,1788222276.099170,1.459,0.949
1788222276.105517,1788222276.106600,1.083,1.115
1788222276.112650,1788222276.115156,2.506,1.669
1788222276.116228,1788222276.122316,6.088,6.138
1788222276.124317,1788222276.130641,6.324,6.452
1788222276.132644,1788222276.138910,6.265,6.125
1788222276.146120,1788222276.147129,1.009,0.095
1788222276.147129,1788222276.155132,8.003,7.208
1788222276.156133,1788222276.162613,6.480,6.902
1788222276.163604,1788222276.171121,7.517,7.309
1788222276.178178,1788222276.179178,1.000,15.309
1788222276.180177,1788222276.186688,6.511,6.509
1788222276.187694,1788222276.195221,7.527,6.543
1788222276.196737,1788222276.202753,6.016,14.543
1788222276.209280,1788222276.211273,1.992,1.564
1788222276.212281,1788222276.218640,6.359,5.979
1788222276.224649,1788222276.226647,1.998,1.985
1788222276.229156,1788222276.235164,6.008,5.386
1788222276.242692,1788222276.242692,0.000,0.452
1788222276.246204,1788222276.250724,4.520,5.024
1788222276.255725,1788222276.259399,3.675,3.093
1788222276.263414,1788222276.266414,3.000,3.332
1788222276.271922,1788222276.274928,3.007,3.326
1788222276.279142,1788222276.283385,4.244,3.165
1788222276.287385,1788222276.291408,4.023,3.062
1788222276.295927,1788222276.299451,3.524,11.062
1788222276.304451,1788222276.307452,3.001,19.062
1788222276.312978,1788222276.314978,2.000,1.720
1788222276.321493,1788222276.323018,1.525,1.699
1788222276.329535,1788222276.330541,1.006,1.105
1788222276.338080,1788222276.339080,1.000,0.919
1788222276.346951,1788222276.346951,0.000,0.110
1788222276.354468,1788222276.355468,1.000,0.685
1788222276.354468,1788222276.362607,8.139,8.694
1788222276.364607,1788222276.371289,6.683,6.197
1788222276.371289,1788222276.378350,7.061,7.659
1788222276.379855,1788222276.386902,7.046,15.659
1788222276.388903,1788222276.395409,6.507,6.105
1788222276.395409,1788222276.403462,8.052,7.013
1788222276.404464,1788222276.410553,6.089,6.491
1788222276.413007,1788222276.419010,6.003,5.794
1788222276.426486,1788222276.427486,1.000,0.862
1788222276.430489,1788222276.434971,4.483,4.773
1788222276.441476,1788222276.443478,2.002,1.122
1788222276.446507,1788222276.450516,4.010,9.122
1788222276.458025,1788222276.459527,1.502,0.925
1788222276.463038,1788222276.467037,3.999,3.794
1788222276.473556,1788222276.475555,1.999,1.924
1788222276.480556,1788222276.483062,2.506,2.461
1788222276.488062,1788222276.491063,3.001,2.376
1788222276.496670,1788222276.499668,2.998,2.774
1788222276.504190,1788222276.507189,2.999,2.533
1788222276.513699,1788222276.515702,2.002,1.655
1788222276.521697,1788222276.523199,1.502,1.265
1788222276.529202,1788222276.531804,2.602,1.872
1788222276.538831,1788222276.539832,1.001,0.392
1788222276.546096,1788222276.547096,1.000,1.227
1788222276.554289,1788222276.555291,1.001,0.836
1788222276.563307,1788222276.563307,0.000,0.492
1788222276.565311,1788222276.571523,6.211,6.575
1788222276.572524,1788222276.579789,7.266,7.010
1788222276.580791,1788222276.587878,7.088,6.791
1788222276.587878,1788222276.595882,8.004,7.389
1788222276.596886,1788222276.603885,6.999,6.498
1788222276.611207,1788222276.611207,0.000,0.098
1788222276.613190,1788222276.619356,6.165,6.517
1788222276.626570,1788222276.627975,1.405,0.931
1788222276.630077,1788222276.636006,5.929,5.658
1788222276.642823,1788222276.643686,0.863,1.103
1788222276.647936,1788222276.652055,4.119,3.922
1788222276.657813,1788222276.659633,1.820,1.611
1788222276.666146,1788222276.668145,2.000,1.799
1788222276.674147,1788222276.675649,1.502,1.686
1788222276.679653,1788222276.688161,8.508,7.671
1788222276.689163,1788222276.695775,6.612,15.671
1788222276.696782,1788222276.704289,7.507,7.181
1788222276.704289,1788222276.711818,7.528,15.181
1788222276.719331,1788222276.719331,0.000,0.578
1788222276.720745,1788222276.727744,6.999,6.751
1788222276.734251,1788222276.735753,1.503,1.507
1788222276.737758,1788222276.744116,6.358,5.672
1788222276.749628,1788222276.751636,2.008,2.073
1788222276.756637,1788222276.760138,3.501,10.073
1788222276.766143,1788222276.768141,1.998,1.965
1788222276.771153,1788222276.776153,5.000,4.721
1788222276.781672,1788222276.783700,2.028,2.695
1788222276.787679,1788222276.792178,4.499,3.974
1788222276.796180,1788222276.800489,4.309,3.415
1788222276.804617,1788222276.807618,3.000,2.962
1788222276.813921,1788222276.815917,1.996,1.751
1788222276.821426,1788222276.824425,2.999,2.759
1788222276.829426,1788222276.831959,2.533,2.108
1788222276.838473,1788222276.840481,2.007,1.313
1788222276.846750,1788222276.847750,1.000,1.131
1788222276.854279,1788222276.856279,2.001,1.540
1788222276.858275,1788222276.864276,6.001,5.903
1788222276.864276,1788222276.872283,8.007,13.903
1788222276.873287,1788222276.880286,6.999,6.716
1788222276.888328,1788222276.888328,0.000,0.061
1788222276.888328,1788222276.896357,8.029,8.061
1788222276.903896,1788222276.903896,0.000,0.255
1788222276.904896,1788222276.912499,7.603,7.281
1788222276.919504,1788222276.920505,1.001,0.622
1788222276.922504,1788222276.928579,6.075,6.072
1788222276.935099,1788222276.936100,1.001,1.190
1788222276.935099,1788222276.944605,9.506,9.198
1788222276.951630,1788222276.952628,0.998,17.198
1788222276.955040,1788222276.960542,5.502,5.351
1788222276.966056,1788222276.968051,1.995,2.140
1788222276.973057,1788222276.976247,3.190,2.910
1788222276.981245,1788222276.984771,3.526,10.910
1788222276.987771,1788222276.991776,4.005,3.935
1788222276.997283,1788222277.000489,3.206,11.935
1788222277.004581,1788222277.008584,4.003,3.125
1788222277.014688,1788222277.016687,1.999,0.980
1788222277.021686,1788222277.024813,3.127,8.980
1788222277.029814,1788222277.032816,3.003,16.980
1788222277.038085,1788222277.040083,1.998,2.424
1788222277.047095,1788222277.048099,1.004,1.340
1788222277.055623,1788222277.056624,1.001,0.348
1788222277.064155,1788222277.064662,0.507,0.335
1788222277.070668,1788222277.071959,1.291,0.954
1788222277.072963,1788222277.079986,7.024,7.199
1788222277.088367,1788222277.088367,0.000,0.393
1788222277.095899,1788222277.096900,1.001,0.317
1788222277.103585,1788222277.103585,0.000,8.317
1788222277.103585,1788222277.112094,8.509,7.794
1788222277.120168,1788222277.120168,0.000,0.249
1788222277.121169,1788222277.128304,7.134,8.249
1788222277.134330,1788222277.136832,2.502,1.861
1788222277.137832,1788222277.144823,6.991,9.861
1788222277.149661,1788222277.152653,2.993,2.524
1788222277.154660,1788222277.160273,5.613,5.644
1788222277.164286,1788222277.168823,4.537,4.025
1788222277.172815,1788222277.176317,3.502,4.008
1788222277.180323,1788222277.184339,4.016,3.882
1788222277.188406,1788222277.192410,4.003,4.385
1788222277.195915,1788222277.200452,4.536,4.200
1788222277.204443,1788222277.208976,4.533,3.878
1788222277.212968,1788222277.216496,3.528,11.878
1788222277.221499,1788222277.224500,3.001,19.878
1788222277.231009,1788222277.233016,2.007,1.751
1788222277.239547,1788222277.240536,0.989,0.581
1788222277.246056,1788222277.248597,2.541,2.482
1788222277.256699,1788222277.256699,0.000,0.053
1788222277.256699,1788222277.264745,8.045,8.076
1788222277.271275,1788222277.272268,0.994,16.076
1788222277.279795,1788222277.280791,0.996,1.015
1788222277.287722,1788222277.287722,0.000,0.644
1788222277.295291,1788222277.296795,1.504,0.454
1788222277.304328,1788222277.304328,0.000,0.127
1788222277.304328,1788222277.312851,8.523,8.139
1788222277.316853,1788222277.320375,3.522,3.340
1788222277.322376,1788222277.328881,6.505,6.206
1788222277.332362,1788222277.336775,4.413,14.206
1788222277.338284,1788222277.344289,6.005,22.206
1788222277.348315,1788222277.352319,4.004,4.247
1788222277.354327,1788222277.360351,6.024,12.247
1788222277.363369,1788222277.368651,5.282,5.374
1788222277.371735,1788222277.376734,4.999,5.161
1788222277.382001,1788222277.384995,2.993,13.161
1788222277.387416,1788222277.392967,5.551,21.161
1788222277.396760,1788222277.401190,4.431,29.161
1788222277.408917,1788222277.408917,0.000,37.161
1788222277.413805,1788222277.417435,3.630,45.161
1788222277.423958,1788222277.424958,1.000,1.003
1788222277.429958,1788222277.433209,3.252,2.689
1788222277.440258,1788222277.440258,0.000,0.940
1788222277.446777,1788222277.449297,2.520,2.234
1788222277.455829,1788222277.456828,0.999,1.075
1788222277.462356,1788222277.464883,2.527,1.846
1788222277.471979,1788222277.472991,1.012,1.400
1788222277.479987,1788222277.481381,1.394,0.793
1788222277.487633,1788222277.488692,1.058,0.758
1788222277.497319,1788222277.497319,0.000,0.033
1788222277.502363,1788222277.505363,3.000,2.696
1788222277.512415,1788222277.513407,0.992,0.066
1788222277.517552,1788222277.520552,3.001,3.443
1788222277.522696,1788222277.528702,6.007,11.443
1788222277.533853,1788222277.536851,2.999,3.239
1788222277.539851,1788222277.545375,5.524,11.239
1788222277.547880,1788222277.553423,5.543,19.239
1788222277.554424,1788222277.560452,6.028,6.633
1788222277.564001,1788222277.569000,5.000,4.990
1788222277.571002,1788222277.577530,6.528,6.005
1788222277.579534,1788222277.585292,5.759,14.005
1788222277.588285,1788222277.593292,5.007,5.145
1788222277.596808,1788222277.600860,4.051,4.437
1788222277.605306,1788222277.609302,3.996,3.356
1788222277.612302,1788222277.617573,5.271,4.402
1788222277.621112,1788222277.625189,4.077,3.827
1788222277.629730,1788222277.633738,4.008,3.555
1788222277.637787,1788222277.641303,3.516,11.555
1788222277.646818,1788222277.649321,2.502,2.498
1788222277.656847,1788222277.656847,0.000,0.098
1788222277.665364,1788222277.665364,0.000,0.108
1788222277.671508,1788222277.673501,1.993,1.460
1788222277.680028,1788222277.681038,1.009,9.460
1788222277.687783,1788222277.689616,1.832,0.278
1788222277.696642,1788222277.696642,0.000,0.680
1788222277.704865,1788222277.705876,1.011,0.607
1788222277.704865,1788222277.713399,8.534,8.616
1788222277.720774,1788222277.721772,0.998,0.195
1788222277.720774,1788222277.728899,8.125,8.202
1788222277.733376,1788222277.736901,3.525,16.202
1788222277.738406,1788222277.744943,6.537,6.962
1788222277.748447,1788222277.753458,5.011,4.840
1788222277.754458,1788222277.760985,6.527,12.840
1788222277.764122,1788222277.769206,5.084,20.840
1788222277.771221,1788222277.777220,5.999,6.188
1788222277.779732,1788222277.785268,5.537,5.307
1788222277.788260,1788222277.793787,5.528,5.294
1788222277.795788,1788222277.801024,5.236,4.990
1788222277.804548,1788222277.809550,5.002,5.059
1788222277.813051,1788222277.817132,4.080,13.059
1788222277.824677,1788222277.825680,1.002,0.678
1788222277.829678,1788222277.833197,3.519,8.678
1788222277.840713,1788222277.841730,1.016,16.678
1788222277.846721,1788222277.849243,2.522,2.988
1788222277.855774,1788222277.857769,1.995,1.541
1788222277.863711,1788222277.865702,1.992,2.002
1788222277.871703,1788222277.873218,1.515,1.816
1788222277.871703,1788222277.881739,10.036,9.833
1788222277.888747,1788222277.890259,1.511,1.405
1788222277.888747,1788222277.897337,8.590,9.413
1788222277.904373,1788222277.906372,1.999,1.431
1788222277.912374,1788222277.913485,1.111,9.431
1788222277.920496,1788222277.921595,1.099,0.578
