t_capture,t_command,latency_ms,signal_age_ms
1788221063.240604,1788221063.242610,2.006,1.059
1788221063.243600,1788221063.250209,6.609,6.863
1788221063.256209,1788221063.258726,2.517,1.546
1788221063.259751,1788221063.266252,6.502,6.431
1788221063.271806,1788221063.274800,2.994,2.362
1788221063.276798,1788221063.282330,5.532,5.568
1788221063.287325,1788221063.290855,3.530,3.022
1788221063.292852,1788221063.297861,5.009,5.355
1788221063.305386,1788221063.306393,1.008,0.629
1788221063.309766,1788221063.314907,5.141,4.381
1788221063.319275,1788221063.322289,3.014,2.600
1788221063.327382,1788221063.330926,3.544,3.167
1788221063.335176,1788221063.338083,2.907,3.029
1788221063.343654,1788221063.346707,3.053,2.304
1788221063.351753,1788221063.354841,3.088,2.500
1788221063.360391,1788221063.362404,2.014,1.949
1788221063.368293,1788221063.370880,2.587,1.454
1788221063.376878,1788221063.378873,1.995,1.565
1788221063.385407,1788221063.386408,1.001,0.677
1788221063.393999,1788221063.393999,0.000,0.017
1788221063.401577,1788221063.402576,0.998,0.791
1788221063.408777,1788221063.410297,1.519,0.583
1788221063.410297,1788221063.418338,8.041,7.687
1788221063.425057,1788221063.426989,1.932,1.027
1788221063.426989,1788221063.435064,8.075,7.826
1788221063.441729,1788221063.442754,1.025,0.354
1788221063.442754,1788221063.449746,6.992,7.482
1788221063.456802,1788221063.458828,2.026,1.259
1788221063.459828,1788221063.466368,6.540,6.348
1788221063.471931,1788221063.474996,3.065,2.536
1788221063.476943,1788221063.482665,5.722,5.810
1788221063.487961,1788221063.490873,2.912,2.984
1788221063.494420,1788221063.498537,4.116,4.010
1788221063.503368,1788221063.506610,3.242,3.062
1788221063.503368,1788221063.514718,11.350,11.084
1788221063.520437,1788221063.523172,2.735,1.993
1788221063.526870,1788221063.530863,3.992,4.145
1788221063.534524,1788221063.538219,3.695,3.713
1788221063.543754,1788221063.546771,3.017,3.281
1788221063.552779,1788221063.554284,1.505,1.629
1788221063.560794,1788221063.562831,2.038,2.122
1788221063.568373,1788221063.570920,2.547,2.327
1788221063.577451,1788221063.578456,1.005,1.421
1788221063.585042,1788221063.587095,2.053,1.320
1788221063.593641,1788221063.594660,1.019,0.623
1788221063.601352,1788221063.602956,1.604,0.887
1788221063.609683,1788221063.611267,1.584,0.225
1788221063.618200,1788221063.618200,0.000,0.214
1788221063.625942,1788221063.626814,0.871,0.800
1788221063.627338,1788221063.634905,7.567,7.228
1788221063.640898,1788221063.642190,1.292,1.405
1788221063.647733,1788221063.650789,3.056,3.361
1788221063.656421,1788221063.658959,2.538,1.868
1788221063.660959,1788221063.666506,5.547,5.899
1788221063.672728,1788221063.674776,2.048,2.287
1788221063.677172,1788221063.681905,4.733,5.655
1788221063.688126,1788221063.691025,2.899,2.517
1788221063.693027,1788221063.698563,5.536,5.028
1788221063.703564,1788221063.707260,3.696,3.261
1788221063.710216,1788221063.714719,4.503,4.961
1788221063.719290,1788221063.722829,3.539,3.578
1788221063.726265,1788221063.731263,4.998,4.143
1788221063.737904,1788221063.738961,1.057,0.699
1788221063.743901,1788221063.746526,2.625,2.489
1788221063.752645,1788221063.755350,2.705,2.622
1788221063.760461,1788221063.763155,2.694,2.527
1788221063.769845,1788221063.770843,0.998,0.565
1788221063.777674,1788221063.778696,1.022,1.483
1788221063.785268,1788221063.786880,1.612,1.570
1788221063.793899,1788221063.794472,0.573,1.269
1788221063.802114,1788221063.803167,1.053,1.037
1788221063.810883,1788221063.810883,0.000,0.243
1788221063.817936,1788221063.819583,1.647,0.099
1788221063.826445,1788221063.827579,1.134,0.385
1788221063.827579,1788221063.835456,7.877,7.439
1788221063.835456,1788221063.843433,7.977,6.982
1788221063.843942,1788221063.851631,7.689,6.864
1788221063.858166,1788221063.859241,1.075,0.675
1788221063.859760,1788221063.866784,7.024,6.716
1788221063.873570,1788221063.875670,2.100,1.033
1788221063.877599,1788221063.883134,5.535,4.830
1788221063.888767,1788221063.891310,2.542,1.867
1788221063.892309,1788221063.898947,6.638,6.089
1788221063.903481,1788221063.906983,3.502,3.339
1788221063.909975,1788221063.915212,5.237,5.273
1788221063.919154,1788221063.923205,4.051,4.222
1788221063.926251,1788221063.931825,5.573,4.836
1788221063.934480,1788221063.939504,5.024,4.331
1788221063.944020,1788221063.947023,3.003,3.460
1788221063.951024,1788221063.955083,4.060,3.712
1788221063.960097,1788221063.963148,3.052,2.965
1788221063.969162,1788221063.972172,3.011,1.955
1788221063.976745,1788221063.979250,2.505,2.353
1788221063.980274,1788221063.987109,6.835,6.796
1788221063.992102,1788221063.995633,3.531,2.482
1788221064.002177,1788221064.003686,1.509,1.452
1788221064.011248,1788221064.011248,0.000,0.031
1788221064.018791,1788221064.020411,1.620,1.125
1788221064.026956,1788221064.027960,1.004,1.042
1788221064.035488,1788221064.036492,1.004,0.325
1788221064.042995,1788221064.044465,1.470,0.832
1788221064.051487,1788221064.051487,0.000,0.103
1788221064.059847,1788221064.060429,0.582,0.395
1788221064.059847,1788221064.068366,8.519,8.410
1788221064.072532,1788221064.076603,4.071,3.879
1788221064.076603,1788221064.084178,7.575,7.413
1788221064.087706,1788221064.091708,4.003,4.292
1788221064.092709,1788221064.100250,7.540,6.617
1788221064.103613,1788221064.108560,4.948,4.714
1788221064.109583,1788221064.116625,7.042,6.058
1788221064.118623,1788221064.124168,5.545,5.188
1788221064.126707,1788221064.132711,6.004,5.526
1788221064.134917,1788221064.139933,5.016,5.152
1788221064.142933,1788221064.148461,5.529,4.661
1788221064.151463,1788221064.156006,4.543,4.287
1788221064.160004,1788221064.164539,4.535,3.977
1788221064.169088,1788221064.172134,3.047,2.866
1788221064.177367,1788221064.180464,3.097,3.275
1788221064.185885,1788221064.187900,2.015,2.364
1788221064.192901,1788221064.196295,3.395,2.956
1788221064.197649,1788221064.204673,7.024,6.566
1788221064.211874,1788221064.211874,0.000,0.300
1788221064.211874,1788221064.220595,8.721,8.312
1788221064.227710,1788221064.228817,1.107,0.497
1788221064.235875,1788221064.235875,0.000,0.239
1788221064.243898,1788221064.243898,0.000,0.388
1788221064.243898,1788221064.252441,8.543,8.398
1788221064.259963,1788221064.259963,0.000,0.244
1788221064.259963,1788221064.268607,8.644,8.261
1788221064.275261,1788221064.276890,1.629,0.052
1788221064.276890,1788221064.284976,8.085,7.841
1788221064.290094,1788221064.292091,1.997,2.111
1788221064.294090,1788221064.300617,6.526,6.515
1788221064.305621,1788221064.308671,3.049,2.606
1788221064.309690,1788221064.316234,6.543,6.694
1788221064.321273,1788221064.324805,3.531,3.522
1788221064.327310,1788221064.332324,5.014,5.458
1788221064.336331,1788221064.340881,4.550,4.102
1788221064.343868,1788221064.348403,4.534,4.905
1788221064.352398,1788221064.356419,4.021,4.234
1788221064.360525,1788221064.364534,4.009,4.313
1788221064.368584,1788221064.372592,4.007,3.737
1788221064.376115,1788221064.380640,4.525,4.055
1788221064.385187,1788221064.388938,3.752,3.203
1788221064.393629,1788221064.396602,2.973,3.330
1788221064.401201,1788221064.405200,3.998,2.897
1788221064.410839,1788221064.412857,2.018,1.616
1788221064.418969,1788221064.420988,2.020,2.007
1788221064.426516,1788221064.429072,2.556,1.795
1788221064.435717,1788221064.436706,0.989,0.875
1788221064.443203,1788221064.445204,2.001,0.892
1788221064.451779,1788221064.452783,1.004,0.212
1788221064.460431,1788221064.460431,0.000,0.460
1788221064.468440,1788221064.468440,0.000,0.037
1788221064.474623,1788221064.476641,2.017,2.313
1788221064.476641,1788221064.485180,8.539,7.869
1788221064.489244,1788221064.493290,4.046,3.343
1788221064.493290,1788221064.500830,7.540,7.232
1788221064.504542,1788221064.509434,4.892,3.846
1788221064.511432,1788221064.516737,5.304,5.478
1788221064.519811,1788221064.524514,4.703,4.933
1788221064.526443,1788221064.532934,6.490,6.111
1788221064.536124,1788221064.540196,4.072,4.828
1788221064.543735,1788221064.548739,5.004,5.555
1788221064.552250,1788221064.557323,5.074,4.844
1788221064.559265,1788221064.565403,6.138,4.999
1788221064.568423,1788221064.573255,4.832,4.594
1788221064.581145,1788221064.581145,0.000,0.021
1788221064.584955,1788221064.589159,4.204,3.868
1788221064.596321,1788221064.597318,0.997,0.102
1788221064.601041,1788221064.604660,3.619,3.317
1788221064.611664,1788221064.613235,1.572,0.983
1788221064.619851,1788221064.621369,1.518,1.374
1788221064.627022,1788221064.629503,2.481,1.531
