t_capture,t_command,latency_ms,signal_age_ms
1788215858.295986,1788215858.297140,1.154,0.675
1788215858.299151,1788215858.305346,6.195,5.674
1788215858.311290,1788215858.313230,1.940,1.403
1788215858.316238,1788215858.321244,5.006,4.737
1788215858.326930,1788215858.328681,1.751,2.005
1788215858.333209,1788215858.337229,4.020,3.899
1788215858.343221,1788215858.344743,1.522,2.175
1788215858.348747,1788215858.353318,4.571,3.792
1788215858.357398,1788215858.360732,3.334,3.378
1788215858.365913,1788215858.368965,3.052,3.334
1788215858.374418,1788215858.377017,2.599,2.751
1788215858.383010,1788215858.385049,2.039,2.106
1788215858.391423,1788215858.393424,2.002,1.968
1788215858.399019,1788215858.400954,1.934,1.858
1788215858.407743,1788215858.408744,1.001,1.532
1788215858.415827,1788215858.417336,1.509,1.122
1788215858.424857,1788215858.424857,0.000,0.420
1788215858.431873,1788215858.433392,1.518,0.394
1788215858.440985,1788215858.440985,0.000,0.056
1788215858.448583,1788215858.449555,0.972,0.085
1788215858.451518,1788215858.457574,6.056,5.239
1788215858.457574,1788215858.465731,8.157,7.323
1788215858.466739,1788215858.472801,6.062,6.869
1788215858.480999,1788215858.480999,0.000,0.041
1788215858.482966,1788215858.489521,6.556,6.424
1788215858.490516,1788215858.497259,6.743,6.106
1788215858.499251,1788215858.505780,6.529,5.917
1788215858.512080,1788215858.513654,1.574,1.017
1788215858.516187,1788215858.521205,5.018,5.464
1788215858.526721,1788215858.528971,2.249,2.649
1788215858.532959,1788215858.537603,4.644,4.614
1788215858.542587,1788215858.545502,2.916,2.528
1788215858.549106,1788215858.553708,4.602,3.832
1788215858.559243,1788215858.561445,2.202,1.931
1788215858.566057,1788215858.569411,3.354,3.108
1788215858.574349,1788215858.577863,3.514,2.875
1788215858.582875,1788215858.585877,3.002,2.422
1788215858.590593,1788215858.593372,2.779,2.638
1788215858.599906,1788215858.601913,2.006,1.275
1788215858.607880,1788215858.609404,1.524,1.765
1788215858.616516,1788215858.618033,1.517,1.442
1788215858.624336,1788215858.625327,0.991,1.221
1788215858.632785,1788215858.633791,1.006,0.765
1788215858.640714,1788215858.641715,1.001,0.416
1788215858.649253,1788215858.650264,1.010,0.454
1788215858.657835,1788215858.657835,0.000,0.022
1788215858.657835,1788215858.665387,7.553,7.902
1788215858.666392,1788215858.673423,7.030,6.842
1788215858.674421,1788215858.681919,7.499,7.255
1788215858.681919,1788215858.689438,7.519,7.374
1788215858.697556,1788215858.697556,0.000,0.120
1788215858.698936,1788215858.706528,7.591,6.844
1788215858.713137,1788215858.714134,0.998,0.200
1788215858.715660,1788215858.722299,6.639,5.957
1788215858.728711,1788215858.729730,1.019,1.014
1788215858.732719,1788215858.737727,5.008,4.978
1788215858.744270,1788215858.746270,2.000,1.506
1788215858.749892,1788215858.754397,4.506,4.038
1788215858.760022,1788215858.762098,2.076,2.056
1788215858.766629,1788215858.769819,3.191,3.602
1788215858.774894,1788215858.778205,3.312,2.130
1788215858.782732,1788215858.785731,2.999,3.099
1788215858.791337,1788215858.794346,3.009,2.505
1788215858.799342,1788215858.802017,2.675,2.088
1788215858.808612,1788215858.809616,1.004,1.682
1788215858.816467,1788215858.817490,1.024,1.263
1788215858.825079,1788215858.826098,1.019,0.954
1788215858.832610,1788215858.833606,0.995,0.851
1788215858.841616,1788215858.841616,0.000,0.646
1788215858.849241,1788215858.850316,1.075,0.408
1788215858.857510,1788215858.857510,0.000,0.241
1788215858.857510,1788215858.865626,8.116,8.255
1788215858.867710,1788215858.873540,5.830,6.493
1788215858.875462,1788215858.882328,6.866,6.241
1788215858.882328,1788215858.890353,8.025,7.284
1788215858.896983,1788215858.897974,0.991,0.541
1788215858.899054,1788215858.905378,6.325,6.449
1788215858.912523,1788215858.914593,2.070,1.253
1788215858.917104,1788215858.922145,5.041,5.283
1788215858.929049,1788215858.930122,1.073,0.636
1788215858.933063,1788215858.937772,4.708,5.190
