t_capture,t_command,latency_ms,signal_age_ms
1788532541.543394,1788532541.549419,6.025,5.110
1788532541.543394,1788532541.557006,13.612,13.123
1788532541.563239,1788532541.564658,1.420,1.760
1788532541.570171,1788532541.573280,3.109,3.017
1788532541.577834,1788532541.580850,3.016,3.020
1788532541.585523,1788532541.589483,3.960,3.596
1788532541.593080,1788532541.597097,4.017,4.135
1788532541.600819,1788532541.604832,4.013,4.404
1788532541.609956,1788532541.612716,2.761,3.324
1788532541.618169,1788532541.621201,3.032,3.166
1788532541.626164,1788532541.629170,3.006,3.116
1788532541.634119,1788532541.637228,3.109,3.271
1788532541.641885,1788532541.644927,3.043,3.468
1788532541.650373,1788532541.653063,2.689,2.959
1788532541.656783,1788532541.660750,3.967,4.625
1788532541.665390,1788532541.669422,4.032,4.015
1788532541.673082,1788532541.677080,3.998,4.326
1788532541.682015,1788532541.685542,3.527,3.239
1788532541.689598,1788532541.693602,4.004,3.855
1788532541.698602,1788532541.701607,3.006,2.826
1788532541.705543,1788532541.709067,3.524,3.887
1788532541.713607,1788532541.717140,3.533,3.807
1788532541.721850,1788532541.724776,2.926,3.589
1788532541.729846,1788532541.732863,3.017,3.657
1788532541.738549,1788532541.741572,3.023,2.919
1788532541.746636,1788532541.749273,2.637,2.750
1788532541.753683,1788532541.757331,3.649,3.772
1788532541.762330,1788532541.765558,3.229,3.196
1788532541.770277,1788532541.773275,2.998,3.289
1788532541.777965,1788532541.780922,2.958,3.607
1788532541.785524,1788532541.789597,4.073,4.037
1788532541.794622,1788532541.797583,2.961,2.913
1788532541.801982,1788532541.804767,2.784,3.600
1788532541.810087,1788532541.813570,3.483,3.512
1788532541.817544,1788532541.821632,4.088,4.063
1788532541.826646,1788532541.829583,2.937,3.011
1788532541.833904,1788532541.836914,3.010,3.748
1788532541.841923,1788532541.844944,3.021,3.631
1788532541.851049,1788532541.853041,1.992,2.538
1788532541.859011,1788532541.861004,1.993,2.543
1788532541.865293,1788532541.869356,4.063,4.349
1788532541.874298,1788532541.877301,3.003,3.383
1788532541.882785,1788532541.885828,3.043,2.870
1788532541.889847,1788532541.893887,4.040,3.863
1788532541.898938,1788532541.901615,2.676,2.807
1788532541.905184,1788532541.909006,3.823,4.573
1788532541.913595,1788532541.917678,4.083,4.157
1788532541.921916,1788532541.925955,4.039,3.773
1788532541.930970,1788532541.933027,2.057,2.590
1788532541.937708,1788532541.941349,3.640,4.007
1788532541.946341,1788532541.949356,3.015,3.388
1788532541.954303,1788532541.957307,3.004,3.472
1788532541.962355,1788532541.965065,2.710,3.412
1788532541.970051,1788532541.973974,3.922,3.753
1788532541.979607,1788532541.981761,2.154,2.153
1788532541.986750,1788532541.989779,3.029,3.082
1788532541.994697,1788532541.997714,3.017,3.190
1788532542.001750,1788532542.005751,4.001,4.093
1788532542.010777,1788532542.013276,2.499,3.134
1788532542.018844,1788532542.021849,3.005,3.052
1788532542.026862,1788532542.029860,2.998,3.058
1788532542.034420,1788532542.038031,3.611,3.425
1788532542.041975,1788532542.046041,4.066,3.938
1788532542.049096,1788532542.053829,4.733,4.774
1788532542.058284,1788532542.061944,3.660,3.618
1788532542.066602,1788532542.069620,3.018,3.312
1788532542.074639,1788532542.078184,3.545,3.335
1788532542.082183,1788532542.085710,3.526,3.789
1788532542.090255,1788532542.093280,3.025,3.715
1788532542.099295,1788532542.101296,2.001,2.687
1788532542.106295,1788532542.109313,3.018,3.648
1788532542.114311,1788532542.117842,3.531,3.691
1788532542.123374,1788532542.125385,2.012,2.670
1788532542.129500,1788532542.133371,3.871,4.467
1788532542.138866,1788532542.141880,3.014,3.170
1788532542.146122,1788532542.150197,4.075,3.737
1788532542.155863,1788532542.157961,2.098,2.064
1788532542.162316,1788532542.165356,3.040,3.679
1788532542.171021,1788532542.174289,3.269,3.049
1788532542.177402,1788532542.181335,3.933,4.716
1788532542.186186,1788532542.190185,3.999,3.910
1788532542.194546,1788532542.197471,2.925,3.602
1788532542.201693,1788532542.205806,4.113,4.506
1788532542.210724,1788532542.213356,2.632,3.480
1788532542.218141,1788532542.222165,4.024,4.042
1788532542.227282,1788532542.230194,2.913,2.900
1788532542.234318,1788532542.238316,3.998,3.853
1788532542.243209,1788532542.246233,3.024,3.022
1788532542.249345,1788532542.254435,5.090,4.853
1788532542.257975,1788532542.262053,4.077,4.274
1788532542.266171,1788532542.269889,3.718,4.032
1788532542.274435,1788532542.278489,4.054,3.867
1788532542.283497,1788532542.286021,2.524,2.794
1788532542.290047,1788532542.294174,4.127,4.275
1788532542.299074,1788532542.302075,3.001,3.061
1788532542.306096,1788532542.309634,3.538,4.170
1788532542.314640,1788532542.318177,3.537,3.605
1788532542.323834,1788532542.325745,1.910,2.430
1788532542.330888,1788532542.333753,2.865,3.359
1788532542.338403,1788532542.341833,3.430,3.963
1788532542.346857,1788532542.350394,3.537,3.521
1788532542.355981,1788532542.358610,2.629,2.379
1788532542.362656,1788532542.365817,3.161,3.694
1788532542.369888,1788532542.373834,3.946,4.502
1788532542.378846,1788532542.381857,3.011,3.557
1788532542.386949,1788532542.389954,3.005,3.503
1788532542.394948,1788532542.397951,3.003,3.531
1788532542.402953,1788532542.405969,3.016,3.587
1788532542.410967,1788532542.413949,2.982,3.573
1788532542.418478,1788532542.422004,3.527,4.093
1788532542.427545,1788532542.429931,2.387,3.010
1788532542.434955,1788532542.438690,3.735,3.640
1788532542.443552,1788532542.446568,3.016,3.055
1788532542.451564,1788532542.454558,2.993,2.930
1788532542.458071,1788532542.462625,4.554,4.566
1788532542.466347,1788532542.470266,3.919,4.275
1788532542.474827,1788532542.477934,3.108,3.856
1788532542.481979,1788532542.486729,4.750,4.725
1788532542.490137,1788532542.494674,4.537,4.581
1788532542.498318,1788532542.502923,4.604,4.395
1788532542.506541,1788532542.510078,3.537,4.143
1788532542.513767,1788532542.518820,5.053,5.006
1788532542.522468,1788532542.526470,4.003,4.308
1788532542.531476,1788532542.534498,3.022,3.256
1788532542.538491,1788532542.542478,3.986,4.292
1788532542.546896,1788532542.550921,4.025,3.871
1788532542.554639,1788532542.558602,3.964,4.082
1788532542.563118,1788532542.566204,3.085,3.744
1788532542.571233,1788532542.575138,3.905,3.655
1788532542.579137,1788532542.582770,3.634,3.622
1788532542.586519,1788532542.590536,4.017,4.366
1788532542.595526,1788532542.599085,3.559,3.365
1788532542.602641,1788532542.606382,3.741,4.296
1788532542.610402,1788532542.614405,4.004,4.572
1788532542.618996,1788532542.622602,3.606,3.945
1788532542.627560,1788532542.630670,3.110,3.394
1788532542.635583,1788532542.638262,2.679,3.410
1788532542.642886,1788532542.647015,4.128,4.068
1788532542.652293,1788532542.654180,1.887,2.673
1788532542.659231,1788532542.662912,3.681,3.721
1788532542.666914,1788532542.671239,4.324,4.073
1788532542.675779,1788532542.678777,2.997,3.187
1788532542.682790,1788532542.686621,3.831,4.272
1788532542.691662,1788532542.694799,3.137,3.357
1788532542.699701,1788532542.702699,2.998,3.416
1788532542.707785,1788532542.710821,3.036,3.048
1788532542.714784,1788532542.719180,4.396,4.359
1788532542.722984,1788532542.726974,3.990,4.190
1788532542.731967,1788532542.734918,2.951,3.209
1788532542.739454,1788532542.743067,3.613,3.706
1788532542.747131,1788532542.751136,4.005,4.078
1788532542.754228,1788532542.759209,4.981,5.000
1788532542.762787,1788532542.766788,4.001,4.331
1788532542.771693,1788532542.775349,3.656,3.503
1788532542.779562,1788532542.782595,3.033,3.688
1788532542.787256,1788532542.791289,4.033,4.004
1788532542.795158,1788532542.799167,4.009,4.074
1788532542.802417,1788532542.807242,4.825,4.820
1788532542.812148,1788532542.815267,3.119,3.043
1788532542.819347,1788532542.823387,4.040,3.859
1788532542.827484,1788532542.831399,3.915,3.819
1788532542.836540,1788532542.839415,2.876,2.800
1788532542.843421,1788532542.847429,4.009,3.795
1788532542.852549,1788532542.855321,2.772,2.717
1788532542.860550,1788532542.863307,2.757,2.786
1788532542.867305,1788532542.871199,3.895,4.074
1788532542.875737,1788532542.878779,3.042,3.534
1788532542.883798,1788532542.887476,3.678,3.495
1788532542.891469,1788532542.895351,3.882,3.922
1788532542.899363,1788532542.903387,4.025,3.969
1788532542.908400,1788532542.911503,3.102,2.654
1788532542.915513,1788532542.918115,2.602,3.935
1788532542.923778,1788532542.926838,3.060,3.620
1788532542.932287,1788532542.935422,3.136,3.168
1788532542.940416,1788532542.943957,3.541,3.304
1788532542.947029,1788532542.950777,3.748,4.820
1788532542.955928,1788532542.959946,4.018,3.964
1788532542.963778,1788532542.967188,3.410,4.159
1788532542.971224,1788532542.975852,4.628,4.638
1788532542.979759,1788532542.983861,4.102,4.163
1788532542.988388,1788532542.991386,2.998,3.549
1788532542.996446,1788532542.999567,3.121,3.502
1788532543.003467,1788532543.007467,3.999,4.517
1788532543.010596,1788532543.015520,4.925,5.194
1788532543.019071,1788532543.023740,4.669,4.812
1788532543.027710,1788532543.032253,4.543,4.117
1788532543.035351,1788532543.039286,3.935,4.562
1788532543.043608,1788532543.047796,4.188,4.426
1788532543.051837,1788532543.055845,4.008,4.068
1788532543.059975,1788532543.064287,4.313,4.194
1788532543.068341,1788532543.072218,3.877,3.805
1788532543.076346,1788532543.080237,3.891,3.913
1788532543.084269,1788532543.087977,3.708,3.989
1788532543.093000,1788532543.096018,3.018,3.268
1788532543.100359,1788532543.103978,3.619,3.861
1788532543.108475,1788532543.112375,3.900,3.807
1788532543.116373,1788532543.120414,4.041,3.961
1788532543.123557,1788532543.128469,4.913,4.660
1788532543.133553,1788532543.135825,2.273,2.684
1788532543.139842,1788532543.143486,3.644,4.163
1788532543.148803,1788532543.151753,2.950,3.465
1788532543.156731,1788532543.159732,3.002,3.644
1788532543.164292,1788532543.168308,4.015,4.055
1788532543.172329,1788532543.176322,3.992,4.020
1788532543.180349,1788532543.184537,4.189,4.037
1788532543.188061,1788532543.192077,4.016,4.371
1788532543.197077,1788532543.200081,3.004,3.387
1788532543.204593,1788532543.208609,4.016,3.838
1788532543.212612,1788532543.216609,3.997,3.654
1788532543.221677,1788532543.223751,2.074,2.795
1788532543.227787,1788532543.232788,5.001,4.750
1788532543.236342,1788532543.240358,4.016,4.121
1788532543.244886,1788532543.247886,3.000,3.634
1788532543.253962,1788532543.255985,2.023,2.435
1788532543.261046,1788532543.264589,3.544,3.486
1788532543.268635,1788532543.272645,4.010,3.895
1788532543.276658,1788532543.280667,4.009,3.862
1788532543.285686,1788532543.288230,2.544,2.864
1788532543.293244,1788532543.296242,2.998,3.347
1788532543.301250,1788532543.304253,3.003,3.384
1788532543.309286,1788532543.312286,3.000,3.224
1788532543.317307,1788532543.320835,3.528,3.332
1788532543.323395,1788532543.328511,5.116,5.167
1788532543.333123,1788532543.336756,3.633,3.377
1788532543.341326,1788532543.344325,2.999,3.152
1788532543.348971,1788532543.352921,3.950,3.555
1788532543.357025,1788532543.360666,3.641,3.658
1788532543.365551,1788532543.368535,2.984,3.191
1788532543.373122,1788532543.376121,2.998,3.602
1788532543.381135,1788532543.384237,3.102,3.635
1788532543.388869,1788532543.392786,3.917,3.896
1788532543.396776,1788532543.400483,3.707,4.041
1788532543.404543,1788532543.408525,3.982,4.286
1788532543.413018,1788532543.416731,3.712,3.840
1788532543.421016,1788532543.425032,4.016,3.833
1788532543.429099,1788532543.433144,4.045,3.742
1788532543.437140,1788532543.441084,3.944,3.774
1788532543.445105,1788532543.448649,3.544,3.819
1788532543.452650,1788532543.456660,4.010,4.273
1788532543.461400,1788532543.464938,3.539,3.486
1788532543.468955,1788532543.473094,4.140,3.978
1788532543.478111,1788532543.480967,2.857,2.864
1788532543.485069,1788532543.488634,3.565,3.992
1788532543.492636,1788532543.496660,4.024,4.370
1788532543.501822,1788532543.504784,2.962,3.224
1788532543.509781,1788532543.512678,2.898,3.234
1788532543.517243,1788532543.520863,3.620,3.754
1788532543.525569,1788532543.528461,2.891,3.404
1788532543.533479,1788532543.536517,3.037,3.565
1788532543.540632,1788532543.544612,3.980,4.384
1788532543.549962,1788532543.552960,2.998,3.153
1788532543.556356,1788532543.561128,4.772,4.761
1788532543.565059,1788532543.568908,3.849,4.105
1788532543.573621,1788532543.576642,3.021,3.405
1788532543.581654,1788532543.584659,3.005,3.485
1788532543.588341,1788532543.592415,4.074,4.857
1788532543.597087,1788532543.600735,3.648,4.092
1788532543.604743,1788532543.608649,3.906,4.463
1788532543.613687,1788532543.616708,3.020,3.480
1788532543.621549,1788532543.625300,3.751,3.666
1788532543.629866,1788532543.632480,2.614,3.291
1788532543.637171,1788532543.640192,3.021,4.038
1788532543.645818,1788532543.648822,3.004,3.442
1788532543.653908,1788532543.656950,3.042,3.349
1788532543.661073,1788532543.665474,4.402,4.176
1788532543.668535,1788532543.673273,4.737,4.665
1788532543.678458,1788532543.681457,2.999,2.842
1788532543.685466,1788532543.688478,3.012,3.735
1788532543.692989,1788532543.697113,4.123,4.316
1788532543.701534,1788532543.705549,4.015,3.811
1788532543.708911,1788532543.712930,4.019,4.418
1788532543.718068,1788532543.720081,2.013,3.300
1788532543.725838,1788532543.728735,2.897,3.491
1788532543.733774,1788532543.736796,3.022,3.584
1788532543.741929,1788532543.744928,2.999,3.376
1788532543.749809,1788532543.753380,3.571,3.568
1788532543.757471,1788532543.761463,3.992,3.873
1788532543.765152,1788532543.769130,3.979,4.271
1788532543.774062,1788532543.777120,3.058,3.167
1788532543.781423,1788532543.784810,3.387,3.918
1788532543.788936,1788532543.793505,4.569,4.544
1788532543.798629,1788532543.801408,2.779,2.786
1788532543.805265,1788532543.809268,4.002,4.209
1788532543.814179,1788532543.817303,3.124,3.334
1788532543.822178,1788532543.824950,2.771,3.280
1788532543.829951,1788532543.833137,3.186,3.552
1788532543.837256,1788532543.841277,4.021,4.257
1788532543.846264,1788532543.849003,2.738,3.234
1788532543.853025,1788532543.857572,4.547,4.471
1788532543.861605,1788532543.865412,3.807,3.965
1788532543.869451,1788532543.874104,4.653,4.565
1788532543.878121,1788532543.882251,4.129,3.930
1788532543.885263,1788532543.889801,4.537,4.771
1788532543.893826,1788532543.897834,4.008,4.216
1788532543.901852,1788532543.905890,4.038,4.177
1788532543.909909,1788532543.913186,3.277,4.140
1788532543.918727,1788532543.922272,3.545,3.269
1788532543.925869,1788532543.930068,4.199,4.196
1788532543.933968,1788532543.938031,4.063,4.114
1788532543.942037,1788532543.946478,4.441,4.327
1788532543.950077,1788532543.954196,4.120,4.259
1788532543.958702,1788532543.961830,3.128,3.663
1788532543.965614,1788532543.970041,4.426,4.826
1788532543.974057,1788532543.978591,4.534,4.381
1788532543.981696,1788532543.986586,4.890,4.741
1788532543.990346,1788532543.994369,4.023,4.118
1788532543.999018,1788532544.002169,3.151,3.398
1788532544.007067,1788532544.010065,2.998,3.441
1788532544.014589,1788532544.018472,3.883,3.906
1788532544.022429,1788532544.026124,3.695,4.132
1788532544.030083,1788532544.034095,4.011,4.417
1788532544.039224,1788532544.042121,2.897,3.393
1788532544.046752,1788532544.050761,4.009,3.906
1788532544.054282,1788532544.058411,4.129,4.347
1788532544.061420,1788532544.066038,4.618,5.238
1788532544.070681,1788532544.074664,3.983,3.898
1788532544.078312,1788532544.082193,3.881,4.305
1788532544.086348,1788532544.090301,3.953,4.266
1788532544.094026,1788532544.098459,4.433,4.628
1788532544.102458,1788532544.106560,4.103,4.081
1788532544.110529,1788532544.114566,4.037,4.201
1788532544.117672,1788532544.122900,5.228,4.945
1788532544.126030,1788532544.130045,4.015,4.727
1788532544.134670,1788532544.138656,3.986,4.118
1788532544.142652,1788532544.146663,4.012,4.146
1788532544.151591,1788532544.154272,2.681,3.125
1788532544.157834,1788532544.162671,4.837,5.017
1788532544.166286,1788532544.170953,4.667,4.542
1788532544.173958,1788532544.178459,4.501,4.903
1788532544.182469,1788532544.186615,4.146,4.400
1788532544.190204,1788532544.194304,4.100,4.648
1788532544.197385,1788532544.202833,5.448,5.460
1788532544.206554,1788532544.210495,3.941,4.324
1788532544.215516,1788532544.218589,3.073,3.324
1788532544.223143,1788532544.226794,3.652,3.638
1788532544.231057,1788532544.235109,4.052,3.744
1788532544.238109,1788532544.242562,4.453,4.769
1788532544.246555,1788532544.250971,4.417,4.352
1788532544.254090,1788532544.258990,4.900,4.611
1788532544.262616,1788532544.266607,3.991,4.358
1788532544.270367,1788532544.274324,3.957,4.560
1788532544.279327,1788532544.282329,3.002,3.709
1788532544.287378,1788532544.290376,2.999,3.627
1788532544.294033,1788532544.299024,4.992,4.998
1788532544.303485,1788532544.307166,3.680,3.531
1788532544.311112,1788532544.315183,4.072,3.948
1788532544.319128,1788532544.323128,3.999,3.915
1788532544.326476,1788532544.330426,3.951,4.243
1788532544.335107,1788532544.339007,3.900,3.903
1788532544.342985,1788532544.347499,4.514,4.353
1788532544.351117,1788532544.355208,4.091,4.224
1788532544.359208,1788532544.363251,4.043,4.156
1788532544.367096,1788532544.371103,4.007,4.344
1788532544.374718,1788532544.378715,3.997,4.727
1788532544.383825,1788532544.387716,3.890,3.574
1788532544.390298,1788532544.394919,4.621,5.158
1788532544.398995,1788532544.402861,3.866,4.534
1788532544.406879,1788532544.410980,4.101,4.667
1788532544.415910,1788532544.418894,2.984,3.652
1788532544.423473,1788532544.427113,3.640,4.057
1788532544.431148,1788532544.435158,4.010,4.368
1788532544.438668,1788532544.443694,5.026,4.921
1788532544.447694,1788532544.451218,3.525,3.923
1788532544.455345,1788532544.459125,3.780,4.345
1788532544.463032,1788532544.467163,4.130,4.607
1788532544.470897,1788532544.475847,4.950,4.776
1788532544.479485,1788532544.483492,4.007,4.194
1788532544.486501,1788532544.492081,5.579,5.409
1788532544.494101,1788532544.499709,5.608,5.724
1788532544.502698,1788532544.508052,5.354,5.242
1788532544.510056,1788532544.515968,5.913,5.952
1788532544.518966,1788532544.523494,4.528,5.022
1788532544.527299,1788532544.531322,4.023,4.750
1788532544.534911,1788532544.539957,5.046,5.135
1788532544.543042,1788532544.548100,5.058,4.854
1788532544.550693,1788532544.555417,4.724,5.407
1788532544.558803,1788532544.564138,5.335,5.124
1788532544.566132,1788532544.571483,5.352,5.952
1788532544.575615,1788532544.579587,3.971,4.464
1788532544.583284,1788532544.588334,5.050,4.793
1788532544.592445,1788532544.596204,3.759,3.664
1788532544.598868,1788532544.603631,4.763,5.311
1788532544.606717,1788532544.612320,5.603,5.406
1788532544.615046,1788532544.620084,5.038,5.155
1788532544.623624,1788532544.628389,4.765,4.541
1788532544.631388,1788532544.635511,4.123,4.837
1788532544.639031,1788532544.644029,4.998,5.173
1788532544.647934,1788532544.651651,3.717,3.976
1788532544.655905,1788532544.660254,4.349,4.292
1788532544.663904,1788532544.667806,3.902,4.326
1788532544.671834,1788532544.676389,4.555,4.435
1788532544.679494,1788532544.684497,5.003,4.759
1788532544.686841,1788532544.692485,5.645,5.446
1788532544.695554,1788532544.700177,4.624,4.725
1788532544.703199,1788532544.708200,5.001,5.085
1788532544.712192,1788532544.716118,3.926,4.150
1788532544.719237,1788532544.723659,4.422,5.122
1788532544.726809,1788532544.732447,5.637,5.576
1788532544.734565,1788532544.740466,5.901,5.808
1788532544.744505,1788532544.748043,3.538,3.858
1788532544.751613,1788532544.756483,4.869,4.635
1788532544.759017,1788532544.764150,5.133,5.274
1788532544.767600,1788532544.772216,4.616,4.820
1788532544.774835,1788532544.780375,5.540,5.616
1788532544.784523,1788532544.788398,3.875,3.910
1788532544.792914,1788532544.795673,2.759,3.478
1788532544.800364,1788532544.804652,4.288,3.996
1788532544.807769,1788532544.811393,3.624,4.643
1788532544.815754,1788532544.820783,5.029,4.746
1788532544.822763,1788532544.828014,5.251,5.633
1788532544.832636,1788532544.835651,3.015,3.900
1788532544.839796,1788532544.844223,4.427,4.757
1788532544.847242,1788532544.852338,5.096,5.241
1788532544.856077,1788532544.860092,4.015,4.483
1788532544.863895,1788532544.867920,4.025,4.554
1788532544.872006,1788532544.876655,4.649,4.499
1788532544.880396,1788532544.884478,4.081,4.169
1788532544.888476,1788532544.892483,4.007,4.150
1788532544.896429,1788532544.900698,4.269,4.208
1788532544.902733,1788532544.908018,5.285,5.857
1788532544.912040,1788532544.916061,4.020,4.617
1788532544.920099,1788532544.924638,4.539,4.545
1788532544.927438,1788532544.932381,4.943,5.181
1788532544.935349,1788532544.940009,4.659,5.370
1788532544.944117,1788532544.948070,3.953,4.526
1788532544.951260,1788532544.956541,5.282,5.440
1788532544.960216,1788532544.964163,3.947,4.416
1788532544.968133,1788532544.972795,4.663,4.631
1788532544.975809,1788532544.980847,5.037,4.807
1788532544.983865,1788532544.988902,5.037,4.865
1788532544.991904,1788532544.996461,4.557,4.804
1788532544.999443,1788532545.004459,5.015,5.349
1788532545.008489,1788532545.012513,4.024,4.284
1788532545.016517,1788532545.020792,4.275,4.309
1788532545.024299,1788532545.028465,4.166,4.514
1788532545.033501,1788532545.036499,2.998,3.349
1788532545.042526,1788532545.044537,2.010,2.137
1788532545.050066,1788532545.052760,2.694,2.794
1788532545.057778,1788532545.060798,3.020,3.106
1788532545.066817,1788532545.069441,2.624,2.586
1788532545.073985,1788532545.077106,3.121,3.414
1788532545.083001,1788532545.085002,2.002,2.399
1788532545.090666,1788532545.092751,2.085,2.729
1788532545.098918,1788532545.100937,2.019,2.454
1788532545.106962,1788532545.109484,2.522,2.504
1788532545.114601,1788532545.117647,3.045,2.787
1788532545.122515,1788532545.125031,2.517,2.924
1788532545.131228,1788532545.133173,1.945,2.185
1788532545.138290,1788532545.141302,3.012,3.138
1788532545.147293,1788532545.149311,2.018,2.184
1788532545.154392,1788532545.157405,3.013,3.080
1788532545.161943,1788532545.165035,3.092,3.575
1788532545.170191,1788532545.172812,2.621,3.341
1788532545.177500,1788532545.180948,3.448,4.078
1788532545.187090,1788532545.189114,2.024,2.400
1788532545.194494,1788532545.197520,3.026,3.061
1788532545.203152,1788532545.205117,1.964,2.449
1788532545.210967,1788532545.212975,2.008,2.657
1788532545.220098,1788532545.221101,1.002,1.504
1788532545.226242,1788532545.229762,3.520,3.395
1788532545.234792,1788532545.236902,2.109,2.804
1788532545.243922,1788532545.245535,1.613,1.688
1788532545.250566,1788532545.253677,3.110,3.073
1788532545.257888,1788532545.261487,3.599,3.722
1788532545.267208,1788532545.269367,2.159,2.407
1788532545.274074,1788532545.277033,2.959,3.593
1788532545.282630,1788532545.285650,3.020,3.016
1788532545.290665,1788532545.292746,2.081,3.005
1788532545.299444,1788532545.301347,1.903,2.291
1788532545.306907,1788532545.309429,2.522,2.464
1788532545.315585,1788532545.317126,1.541,2.048
1788532545.323228,1788532545.325882,2.654,2.542
1788532545.331715,1788532545.333749,2.033,2.012
1788532545.338542,1788532545.341476,2.934,3.151
1788532545.347593,1788532545.349203,1.610,2.095
1788532545.355854,1788532545.357888,2.034,1.842
1788532545.363243,1788532545.364756,1.513,2.485
1788532545.371314,1788532545.373316,2.002,2.460
1788532545.379271,1788532545.381704,2.433,2.514
1788532545.386586,1788532545.389782,3.195,3.225
1788532545.394870,1788532545.397991,3.122,2.935
1788532545.403522,1788532545.406135,2.614,2.272
1788532545.411149,1788532545.414160,3.012,2.515
1788532545.420220,1788532545.421217,0.997,1.637
1788532545.426812,1788532545.429816,3.004,3.089
1788532545.435485,1788532545.437376,1.890,2.356
1788532545.442955,1788532545.445957,3.001,2.983
1788532545.452095,1788532545.454097,2.002,1.840
1788532545.458560,1788532545.461468,2.908,3.391
1788532545.467518,1788532545.469547,2.029,2.458
1788532545.475588,1788532545.478207,2.619,2.379
1788532545.483319,1788532545.485360,2.041,2.733
1788532545.492005,1788532545.494024,2.019,2.015
1788532545.500237,1788532545.502006,1.769,1.669
1788532545.507123,1788532545.510030,2.907,2.994
1788532545.515595,1788532545.517616,2.020,2.486
1788532545.523607,1788532545.526263,2.656,2.345
1788532545.530930,1788532545.533473,2.543,3.181
1788532545.539509,1788532545.541520,2.011,2.573
1788532545.548533,1788532545.549678,1.144,1.618
1788532545.555549,1788532545.558083,2.534,2.629
1788532545.563824,1788532545.566212,2.388,2.310
1788532545.571167,1788532545.573185,2.018,3.031
1788532545.579924,1788532545.582035,2.111,2.283
