t_capture,t_command,latency_ms,signal_age_ms
1788533063.367484,1788533063.374500,7.015,6.172
1788533063.367484,1788533063.381948,14.464,14.182
1788533063.388703,1788533063.389721,1.018,1.489
1788533063.388703,1788533063.398390,9.686,9.497
1788533063.400424,1788533063.406539,6.115,5.812
1788533063.409092,1788533063.414627,5.534,4.789
1788533063.416668,1788533063.421729,5.061,5.585
1788533063.424749,1788533063.429809,5.060,5.525
1788533063.433822,1788533063.438346,4.524,4.464
1788533063.440384,1788533063.446397,6.013,5.909
1788533063.448915,1788533063.453686,4.771,5.404
1788533063.448915,1788533063.461764,12.849,13.411
1788533063.464780,1788533063.469800,5.020,5.623
1788533063.464780,1788533063.477863,13.083,13.631
1788533063.480880,1788533063.486241,5.361,5.400
1788533063.480880,1788533063.494298,13.418,13.410
1788533063.496303,1788533063.502318,6.015,6.153
1788533063.505338,1788533063.509924,4.586,5.068
1788533063.513982,1788533063.518015,4.033,4.369
1788533063.521520,1788533063.526079,4.559,4.756
1788533063.521520,1788533063.534128,12.609,12.760
1788533063.521520,1788533063.542712,21.192,20.769
1788533063.544705,1788533063.550259,5.554,5.836
1788533063.553296,1788533063.558294,4.998,5.265
1788533063.561304,1788533063.566320,5.016,5.004
1788533063.569324,1788533063.574332,5.008,5.164
1788533063.577352,1788533063.581871,4.519,5.146
1788533063.584893,1788533063.589938,5.045,5.574
1788533063.592952,1788533063.597470,4.518,5.545
1788533063.601070,1788533063.606137,5.067,5.399
1788533063.608326,1788533063.614377,6.051,6.286
1788533063.617398,1788533063.621919,4.522,5.114
1788533063.617398,1788533063.630152,12.754,13.138
1788533063.633171,1788533063.638470,5.299,5.341
1788533063.640798,1788533063.646414,5.616,5.833
1788533063.649434,1788533063.653985,4.551,5.160
1788533063.657527,1788533063.662094,4.567,5.068
1788533063.665113,1788533063.670152,5.039,5.523
1788533063.674165,1788533063.678206,4.041,4.495
1788533063.681710,1788533063.686386,4.676,4.859
1788533063.689404,1788533063.694448,5.044,5.253
1788533063.697515,1788533063.702496,4.980,5.072
1788533063.704497,1788533063.710527,6.030,6.279
1788533063.713134,1788533063.718184,5.050,5.583
1788533063.721164,1788533063.726696,5.532,5.505
1788533063.730217,1788533063.734225,4.008,4.531
1788533063.737252,1788533063.742324,5.073,5.477
1788533063.745270,1788533063.750796,5.527,5.454
1788533063.745270,1788533063.758411,13.141,13.460
1788533063.761451,1788533063.765992,4.541,5.271
1788533063.769618,1788533063.774636,5.018,5.162
1788533063.777645,1788533063.782302,4.657,5.208
1788533063.784297,1788533063.790425,6.128,6.484
1788533063.784297,1788533063.798461,14.163,14.501
