t_capture,t_command,latency_ms,signal_age_ms
1788532493.297046,1788532493.298107,1.061,0.527
1788532493.297046,1788532493.305916,8.870,8.539
1788532493.312567,1788532493.313594,1.027,1.193
1788532493.318562,1788532493.322176,3.614,3.239
1788532493.327339,1788532493.329349,2.010,2.517
1788532493.333867,1788532493.337487,3.620,4.029
1788532493.342554,1788532493.345481,2.928,3.349
1788532493.349493,1788532493.353608,4.116,4.379
1788532493.358551,1788532493.361593,3.042,3.428
1788532493.366348,1788532493.369344,2.996,3.578
1788532493.374986,1788532493.377439,2.453,3.096
1788532493.381478,1788532493.385535,4.058,4.537
1788532493.390084,1788532493.394158,4.074,4.002
1788532493.398175,1788532493.402097,3.922,3.912
1788532493.406259,1788532493.410256,3.998,3.833
1788532493.415244,1788532493.418010,2.766,2.851
1788532493.422973,1788532493.425722,2.749,3.171
1788532493.429353,1788532493.434056,4.703,4.737
1788532493.438970,1788532493.441984,3.015,3.084
1788532493.447003,1788532493.450051,3.049,2.972
1788532493.454172,1788532493.457510,3.337,3.778
1788532493.461595,1788532493.465545,3.950,4.562
1788532493.470082,1788532493.474138,4.057,4.090
1788532493.478491,1788532493.481500,3.009,3.667
1788532493.486444,1788532493.490681,4.238,4.072
1788532493.493708,1788532493.498241,4.533,4.801
1788532493.502253,1788532493.506149,3.896,4.302
1788532493.510902,1788532493.514263,3.361,3.721
1788532493.518302,1788532493.522303,4.000,4.364
1788532493.526861,1788532493.529860,2.999,3.775
1788532493.534399,1788532493.538450,4.051,4.200
1788532493.542401,1788532493.545938,3.537,4.231
1788532493.550973,1788532493.553991,3.017,3.234
1788532493.557661,1788532493.562293,4.632,4.955
1788532493.566058,1788532493.570054,3.996,4.648
1788532493.573580,1788532493.577697,4.116,5.092
1788532493.582030,1788532493.586523,4.493,4.687
1788532493.591108,1788532493.593863,2.755,3.599
1788532493.597453,1788532493.602149,4.696,5.230
1788532493.607091,1788532493.610767,3.675,3.645
1788532493.614724,1788532493.618810,4.086,4.015
1788532493.623262,1788532493.626884,3.622,3.520
1788532493.630876,1788532493.634576,3.700,3.942
1788532493.638258,1788532493.642305,4.047,4.561
1788532493.645938,1788532493.650403,4.465,4.834
1788532493.655005,1788532493.658952,3.947,3.747
1788532493.662955,1788532493.666460,3.505,3.589
1788532493.670420,1788532493.674420,4.000,4.349
1788532493.678439,1788532493.682420,3.980,4.449
1788532493.686901,1788532493.690640,3.739,3.973
1788532493.694242,1788532493.698781,4.538,4.654
1788532493.702777,1788532493.707049,4.272,4.073
1788532493.710061,1788532493.715056,4.995,4.822
1788532493.719057,1788532493.723079,4.022,3.899
1788532493.726619,1788532493.730229,3.610,4.300
1788532493.734773,1788532493.738868,4.095,4.171
1788532493.742771,1788532493.746845,4.073,4.173
1788532493.751036,1788532493.754752,3.717,3.911
1788532493.758785,1788532493.762897,4.112,4.135
