t_capture,t_command,latency_ms,signal_age_ms
1788532951.942869,1788532951.943885,1.017,0.570
1788532951.942869,1788532951.951368,8.499,8.584
1788532951.958879,1788532951.959873,0.994,0.618
1788532951.963867,1788532951.967880,4.012,3.744
1788532951.971413,1788532951.975418,4.004,4.176
1788532951.979408,1788532951.983424,4.017,4.280
1788532951.988434,1788532951.991440,3.006,3.271
1788532951.995952,1788532951.999493,3.541,3.735
1788532952.004514,1788532952.007758,3.244,3.261
1788532952.012318,1788532952.015331,3.013,3.424
1788532952.019866,1788532952.023886,4.020,3.833
1788532952.027883,1788532952.031879,3.996,3.853
1788532952.036430,1788532952.039442,3.011,3.386
1788532952.043973,1788532952.047495,3.522,3.846
1788532952.051284,1788532952.054687,3.404,4.396
1788532952.060646,1788532952.063684,3.038,3.097
1788532952.068701,1788532952.071710,3.009,3.095
1788532952.076402,1788532952.079311,2.908,3.386
1788532952.083003,1788532952.088011,5.008,4.862
1788532952.091945,1788532952.096061,4.115,3.917
1788532952.099471,1788532952.103615,4.144,4.379
1788532952.108131,1788532952.111947,3.816,3.771
1788532952.115558,1788532952.119501,3.943,4.366
1788532952.124066,1788532952.128085,4.019,3.852
1788532952.132091,1788532952.136101,4.011,3.695
1788532952.140124,1788532952.143747,3.624,3.782
1788532952.149127,1788532952.151207,2.080,2.763
1788532952.156492,1788532952.159508,3.016,3.430
1788532952.163705,1788532952.168230,4.525,4.240
1788532952.171253,1788532952.175262,4.008,4.729
1788532952.180157,1788532952.183595,3.438,3.860
1788532952.187611,1788532952.191632,4.020,4.437
1788532952.196306,1788532952.200343,4.037,3.836
1788532952.204886,1788532952.208413,3.527,3.375
1788532952.211962,1788532952.215970,4.009,4.335
1788532952.219993,1788532952.224507,4.513,4.312
1788532952.229048,1788532952.232036,2.987,3.241
1788532952.237033,1788532952.240057,3.024,3.323
1788532952.244576,1788532952.248635,4.060,3.749
1788532952.253153,1788532952.256239,3.085,3.215
1788532952.260279,1788532952.263302,3.023,4.139
1788532952.268857,1788532952.272136,3.280,3.515
1788532952.276165,1788532952.280171,4.005,4.225
1788532952.284689,1788532952.288308,3.619,3.791
1788532952.293320,1788532952.296306,2.986,3.180
1788532952.300163,1788532952.304770,4.607,4.338
1788532952.308276,1788532952.311847,3.571,4.177
1788532952.316438,1788532952.320418,3.980,4.161
1788532952.324956,1788532952.327955,2.999,3.628
1788532952.332965,1788532952.335964,3.000,3.480
1788532952.340497,1788532952.344026,3.530,4.137
1788532952.349573,1788532952.352102,2.529,2.919
1788532952.356116,1788532952.360117,4.001,4.529
1788532952.364652,1788532952.368031,3.379,3.833
1788532952.373059,1788532952.376585,3.526,3.487
1788532952.380707,1788532952.383601,2.894,3.906
1788532952.388155,1788532952.392205,4.050,4.381
1788532952.396666,1788532952.400786,4.120,4.002
1788532952.405539,1788532952.408291,2.753,2.925
1788532952.412531,1788532952.416524,3.993,4.215
1788532952.420529,1788532952.424532,4.003,4.144
1788532952.429201,1788532952.432173,2.972,3.473
1788532952.437141,1788532952.440139,2.999,3.441
1788532952.444152,1788532952.447757,3.605,4.640
1788532952.453016,1788532952.456551,3.535,3.756
1788532952.460228,1788532952.464594,4.366,4.506
1788532952.469139,1788532952.472151,3.013,3.661
1788532952.477165,1788532952.480173,3.008,3.649
1788532952.484835,1788532952.488846,4.011,3.949
1788532952.492355,1788532952.496884,4.529,4.448
1788532952.499956,1788532952.503926,3.970,4.888
1788532952.508482,1788532952.512713,4.231,4.383
1788532952.517080,1788532952.520674,3.594,3.761
1788532952.524560,1788532952.528651,4.091,4.270
1788532952.532235,1788532952.536827,4.592,4.583
1788532952.541285,1788532952.544403,3.119,3.588
1788532952.550036,1788532952.553109,3.073,2.801
